carrier,"a person or thing that carries, holds, or conveys something."
caution,care taken to avoid danger or mistakes.
ceiling,the upper interior surface of a room or other similar compartment.
central,at the point or in the area that is in the middle of something.
centric,in or at the centre; central.
century,a period of one hundred years.
certain,able to be firmly relied on to happen or be the case.
chamber,a large room used for formal or public events.
channel,"a length of water wider than a strait, joining two larger areas of water, especially two seas."
chapter,"a main division of a book, typically with a number or title."
charity,an organization set up to provide help and raise money for those in need.
charlie,a fool.
charter,"a written grant by the sovereign or legislative power of a country, by which a body such as a city, company, or university is founded or its rights and privileges defined."
checked,having a pattern of small squares.
chicken,"a domestic fowl kept for its eggs or meat, especially a young one."
chronic,(of an illness) persisting for a long time or constantly recurring.
circuit,"a roughly circular line, route, or movement that starts and finishes at the same place."
classes,"a set or category of things having some property or attribute in common and differentiated from others by kind, type, or quality."
classic,judged over a period of time to be of the highest quality and outstanding of its kind.
climate,the weather conditions prevailing in an area in general or over a long period.
closing,bringing something to an end; final.
closure,"an act or process of closing something, especially an institution, thoroughfare, or frontier, or of being closed."
clothes,items worn to cover the body.
collect,bring or gather together (a number of things).
college,"an educational institution or establishment, in particular one providing higher education or specialized professional or vocational training."
combine,join or merge to form a single unit or substance.
comfort,a state of physical ease and freedom from pain or constraint.
command,give an authoritative or peremptory order.
comment,a verbal or written remark expressing an opinion or reaction.
compact,closely and neatly packed together; dense.
company,a commercial business.
compare,"estimate, measure, or note the similarity or dissimilarity between."
compete,strive to gain or win something by defeating or establishing superiority over others.
complex,consisting of many different and connected parts.
concept,an abstract idea.
concern,relate to; be about.
concert,"a musical performance given in public, typically by several performers or of several compositions."
conduct,"the manner in which a person behaves, especially in a particular place or situation."
confirm,establish the truth or correctness of (something previously believed or suspected to be the case).
connect,bring together or into contact so that a real or notional link is established.
consent,permission for something to happen or agreement to do something.
consist,be composed or made up of.
contact,the state of physical touching.
contain,have or hold (someone or something) within.
content,in a state of peaceful happiness.
contest,"an event in which people compete for supremacy in a sport or other activity, or in a quality."
context,"the circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood."
control,the power to influence or direct people's behaviour or the course of events.
convert,"change the form, character, or function of something."
correct,free from error; in accordance with fact or truth.
council,"an advisory, deliberative, or administrative body of people formally constituted and meeting regularly."
counsel,"advice, especially that given formally."
counter,a small disc used in board games for keeping the score or as a place marker.
country,"a nation with its own government, occupying a particular territory."
crucial,"decisive or critical, especially in the success or failure of something."
crystal,a piece of a homogeneous solid substance having a natural geometrically regular form with symmetrically arranged plane faces.
culture,the arts and other manifestations of human intellectual achievement regarded collectively.
current,belonging to the present time; happening or being used or done now.
cutting,the action of cutting something.
dealing,business relations or transactions.
decided,(of a quality) definite; unquestionable.
decline,"(typically of something regarded as good) become smaller, fewer, or less; decrease."
default,"failure to fulfil an obligation, especially to repay a loan or appear in a law court."
defence,the action of defending from or resisting attack.
deficit,"the amount by which something, especially a sum of money, is too small."
deliver,"bring and hand over (a letter, parcel, or goods) to the proper recipient or address."
density,the degree of compactness of a substance.
deposit,a sum of money paid into a bank or building society account.
desktop,small or compact enough to fit or be used on adesk: a desktop calendar.
despite,without being affected by; in spite of.
destroy,end the existence of (something) by damaging or attacking it.
develop,"grow or cause to grow and become more mature, advanced, or elaborate."
devoted,very loving or loyal.
diamond,"a precious stone consisting of a clear and colourless crystalline form of pure carbon, the hardest naturally occurring substance."
digital,displaying a readout in numerical digits rather than by a pointer or hands on a dial: a digital speedometer;a digital watch.
discuss,talk about (something) with a person or people.
disease,"a disorder of structure or function in a human, animal, or plant, especially one that produces specific symptoms or that affects a specific location and is not simply a direct result of physical injury."
display,put (something) in a prominent place in order that it may readily be seen.
dispute,a disagreement or argument.
distant,far away in space or time.
diverse,showing a great deal of variety; very different.
divided,split into parts; separated.
drawing,"a picture or diagram made with a pencil, pen, or crayon rather than paint."
driving,(of rain or snow) blown by the wind with great force.
dynamic,"(of a process or system) characterized by constant change, activity, or progress."
eastern,"situated in, directed towards, or facing the east."
economy,the state of a country or region in terms of the production and consumption of goods and services and the supply of money.
edition,a particular form or version of a published text.
elderly,(of a person) old or ageing.
element,an essential or characteristic part of something abstract.
engaged,busy; occupied.
enhance,"intensify, increase, or further improve the quality, value, or extent of."
essence,"the intrinsic nature or indispensable quality of something, especially something abstract, which determines its character."
evening,"the period of time at the end of the day, usually from about 6 p.m. to bedtime."
evident,clearly seen or understood; obvious.
exactly,used to emphasize the accuracy of a figure or description.
examine,inspect (someone or something) thoroughly in order to determine their nature or condition.
example,a thing characteristic of its kind or illustrating a general rule.
excited,very enthusiastic and eager.
exclude,"deny (someone) access to a place, group, or privilege."
exhibit,publicly display (a work of art or item of interest) in an art gallery or museum or at a trade fair.
expense,the cost incurred in or required for something.
explain,make (an idea or situation) clear to someone by describing it in more detail or revealing relevant facts.
explore,travel through (an unfamiliar area) in order to learn about it.
express,convey (a thought or feeling) in words or by gestures and conduct.
extreme,reaching a high or the highest degree; very great.
factory,a building or group of buildings where goods are manufactured or assembled chiefly by machine.
faculty,an inherent mental or physical power.
failing,"a weakness, especially in a person's character; a shortcoming."
failure,lack of success.
fashion,"a popular or the latest style of clothing, hair, decoration, or behaviour."
feature,a distinctive attribute or aspect of something.
federal,having or relating to a system of government in which several states form a unity but remain independent in internal affairs.
feeling,an emotional state or reaction.
fiction,"literature in the form of prose, especially novels, that describes imaginary events and people."
fifteen,"equivalent to the product of three and five; one more than fourteen, or five more than ten; 15."
filling,a quantity of soft material that fills or is used to fill something.
finance,"the management of large amounts of money, especially by governments or large companies."
finding,the action of finding someone or something.
fishing,"the activity of catching fish, either for food or as a sport."
fitness,the condition of being physically fit and healthy.
foreign,"of, from, in, or characteristic of a country or language other than one's own."
forever,for all future time; for always.
formula,a mathematical relationship or rule expressed in symbols.
fortune,chance or luck as an arbitrary force affecting human affairs.
forward,in the direction that one is facing or travelling; towards the front.
founder,a person who manufactures articles of cast metal; the owner or operator of a foundry.
freedom,"the power or right to act, speak, or think as one wants."
further,"at, to, or by a greater distance (used to indicate the extent to which one thing or person is or becomes distant from another)."
gallery,a room or building for the display or sale of works of art.
gateway,an opening that can be closed by a gate.
general,affecting or concerning all or most people or things; widespread.
genetic,relating to genes or heredity.
genuine,truly what something is said to be; authentic.
gigabit,a measure of storage capacity and data transfer equal to 1 billion (109) bits. 
greater,"of an extent, amount, or intensity considerably above average."
hanging,the practice of hanging condemned people as a form of capital punishment.
heading,a title at the head of a page or section of a book.
healthy,in a good physical or mental condition; in good health.
hearing,the faculty of perceiving sounds.
heavily,to a great degree; in large amounts.
helpful,giving or ready to give help.
helping,a portion of food served to one person at one time.
herself,used as the object of a verb or preposition to refer to a female person or animal previously mentioned as the subject of the clause.
highway,"a main road, especially one connecting major towns or cities."
himself,used as the object of a verb or preposition to refer to a male person or animal previously mentioned as the subject of the clause.
history,"the study of past events, particularly in human affairs."
holding,"stocks, property, and other financial assets in someone's possession."
holiday,"an extended period of leisure and recreation, especially one spent away from home or in travelling."
housing,houses and flats considered collectively.
however,used to introduce a statement that contrasts with or seems to contradict something that has been said previously.
hundred,the number equivalent to the product of ten and ten; ten more than ninety; 100.
husband,a married man considered in relation to his spouse.
illegal,"contrary to or forbidden by law, especially criminal law."
illness,a disease or period of sickness affecting the body or mind.
imagine,form a mental image or concept of.
imaging,the process of making a visual representation of something by scanning it with a detector or electromagnetic beam.
improve,make or become better.
include,comprise or contain as part of a whole.
initial,existing or occurring at the beginning.
inquiry,an act of asking for information.
insight,the capacity to gain an accurate and deep understanding of someone or something.
install,place or fix (equipment or machinery) in position ready for use.
instant,happening or coming immediately.
instead,as an alternative or substitute.
intense,"of extreme force, degree, or strength."
interim,the intervening time.
involve,have or include (something) as a necessary or integral part or result.
jointly,with another person or people; together.
journal,a newspaper or magazine that deals with a particular subject or professional activity.
journey,an act of travelling from one place to another.
justice,just behaviour or treatment.
justify,show or prove to be right or reasonable.
keeping,"the action or fact of owning, maintaining, or protecting something."
killing,"an act of causing death, especially deliberately."
kingdom,"a country, state, or territory ruled by a king or queen."
kitchen,a room or area where food is prepared and cooked.
knowing,showing or suggesting that one has knowledge or awareness that is secret or known to only a few people.
landing,"an instance of coming or bringing something to land, either from the air or from water."
largely,to a great extent; on the whole; mostly.
lasting,enduring or able to endure over a long period of time.
leading,most important.
learned,(of a person) having acquired much knowledge through study.
leisure,time when one is not working or occupied; free time.
liberal,willing to respect or accept behaviour or opinions different from one's own; open to new ideas.
liberty,"the state of being free within society from oppressive restrictions imposed by authority on one's way of life, behaviour, or political views."
library,"a building or room containing collections of books, periodicals, and sometimes films and recorded music for use or borrowing by the public or the members of an institution."
license,grant a licence to.
limited,"restricted in size, amount, or extent; few, small, or short."
listing,a list;  record; catalog.
logical,of or according to the rules of logic or formal argument.
loyalty,the quality of being loyal.
machine,"an apparatus using mechanical power and having several parts, each with a definite function and together performing a particular task."
manager,a person responsible for controlling or administering an organization or group of staff.
married,(of two people) united in marriage.
massive,large and heavy or solid.
maximum,"as great, high, or intense as possible or permitted."
meaning,"what is meant by a word, text, concept, or action."
measure,"ascertain the size, amount, or degree of (something) by using an instrument or device marked in standard units."
medical,relating to the science or practice of medicine.
meeting,"an assembly of people for a particular purpose, especially for formal discussion."
mention,refer to (something) briefly and without going into detail.
message,"a verbal, written, or recorded communication sent to or left for a recipient who cannot be contacted directly."
million,"the number equivalent to the product of a thousand and a thousand; 1,000,000 or 106."
mineral,"a solid, naturally occurring inorganic substance."
minimal,"of a minimum amount, quantity, or degree; negligible."
minimum,"the least or smallest amount or quantity possible, attainable, or required."
missing,(of a thing) not able to be found because it is not in its expected place.
mission,"an important assignment given to a person or group of people, typically involving travel abroad."
mistake,an act or judgement that is misguided or wrong.
mixture,a substance made by mixing other substances together.
monitor,"a device used for observing, checking, or keeping a continuous record of something."
monthly,"done, produced, or occurring once a month."
morning,"the period of time between midnight and noon, especially from sunrise to noon."
musical,relating to music.
mystery,something that is difficult or impossible to understand or explain.
natural,existing in or derived from nature; not made or caused by humankind.
neither,used before the first of two (or occasionally more) alternatives (the others being introduced by ‘nor’) to indicate that they are each untrue or each does not happen.
nervous,easily agitated or alarmed.
network,an arrangement of intersecting horizontal and vertical lines.
neutral,"not supporting or helping either side in a conflict, disagreement, etc.; impartial."
notable,worthy of attention or notice; remarkable.
nothing,not anything; no single thing.
nowhere,not in or to any place; not anywhere.
nuclear,relating to the nucleus of an atom.
nursing,the profession or practice of providing care for the sick and infirm.
obvious,"easily perceived or understood; clear, self-evident, or apparent."
offense,a breach of a law or rule; an illegal act.
officer,"a person holding a position of authority, especially one with a commission, in the armed services, the mercantile marine, or on a passenger ship."
ongoing,continuing; still in progress.
opening,a space or gap that allows passage or access.
operate,"(of a person) control the functioning of (a machine, process, or system)."
opinion,"a view or judgement formed about something, not necessarily based on fact or knowledge."
optical,"relating to sight, especially in relation to the action of light."
organic,relating to or derived from living matter.
outcome,the way a thing turns out; a consequence.
outdoor,"done, situated, or used out of doors."
outlook,a person's point of view or general attitude to life.
outside,the external side or surface of something.
overall,taking everything into account.
pacific,peaceful in character or intent.
package,an object or group of objects wrapped in paper or packed in a box.
painted,covered or decorated with paint.
parking,"bring (a vehicle that one is driving) to a halt and leave it temporarily, typically in a car park or by the side of the road."
partial,existing only in part; incomplete.
partner,either of a pair of people engaged together in the same activity.
passage,the action or process of moving through or past somewhere on the way from one place to another.
passing,going past.
passion,strong and barely controllable emotion.
passive,"accepting or allowing what happens or what others do, without active response or resistance."
patient,"able to accept or tolerate delays, problems, or suffering without becoming annoyed or anxious."
pattern,a repeated decorative design.
payable,(of money) required to be paid; due.
payment,the action or process of paying someone or something or of being paid.
penalty,"a punishment imposed for breaking a law, rule, or contract."
pending,awaiting decision or settlement.
pension,a regular payment made by the state to people of or above the official retirement age and to some widows and disabled people.
percent,by a specified amount in or for every hundred.
perfect,"having all the required or desirable elements, qualities, or characteristics; as good as it is possible to be."
perform,"carry out, accomplish, or fulfil (an action, task, or function)."
perhaps,used to express uncertainty or possibility.
phoenix,Sometimes Phoenix . 
picking,"detach and remove (a flower, fruit, or vegetable) from where it is growing."
picture,a painting or drawing.
pioneer,a person who is among the first to explore or settle a new country or area.
plastic,"a synthetic material made from a wide range of organic polymers such as polyethylene, PVC, nylon, etc., that can be moulded into shape while soft, and then set into a rigid or slightly elastic form."
pointed,having a sharpened or tapered tip or end.
popular,liked or admired by many people or by a particular person or group.
portion,a part of a whole.
poverty,the state of being extremely poor.
precise,marked by exactness and accuracy of expression or detail.
predict,say or estimate that (a specified thing) will happen in the future or will be a consequence of something.
premier,"first in importance, order, or position; leading."
premium,an amount to be paid for a contract of insurance.
prepare,make (something) ready for use or consideration.
present,in a particular place.
prevent,keep (something) from happening.
primary,of chief importance; principal.
printer,"a person or thing that prints,  especially a person whose occupation is printing. "
privacy,a state in which one is not observed or disturbed by other people.
private,belonging to or for the use of one particular person or group of people only.
problem,a matter or situation regarded as unwelcome or harmful and needing to be dealt with and overcome.
proceed,begin a course of action.
process,a series of actions or steps taken in order to achieve a particular end.
produce,make or manufacture from components or raw materials.
product,an article or substance that is manufactured or refined for sale.
profile,"an outline of something, especially a person's face, as seen from one side."
program,a set of related measures or activities with a particular long-term aim.
project,an individual or collaborative enterprise that is carefully planned to achieve a particular aim.
promise,a declaration or assurance that one will do something or that a particular thing will happen.
promote,"support or actively encourage (a cause, venture, etc.); further the progress of."
protect,keep safe from harm or injury.
protein,"any of a class of nitrogenous organic compounds which have large molecules composed of one or more long chains of amino acids and are an essential part of all living organisms, especially as structural components of body tissues such as muscle, hair, etc., and as enzymes and antibodies."
protest,a statement or action expressing disapproval of or objection to something.
provide,make available for use; supply.
publish,"prepare and issue (a book, journal, piece of music, etc.) for public sale, distribution, or readership."
purpose,the reason for which something is done or created or for which something exists.
pushing,exert force on (someone or something) in order to move them away from oneself.
qualify,be entitled to a particular benefit or privilege by fulfilling a necessary condition.
quality,the standard of something as measured against other things of a similar kind; the degree of excellence of something.
quarter,each of four equal or corresponding parts into which something is or can be divided.
radical,(especially of change or action) relating to or affecting the fundamental nature of something; far-reaching or thorough.
railway,a track made of steel rails along which trains run.
readily,without hesitation or reluctance; willingly.
Reading,the action or skill of reading.
reality,"the state of things as they actually exist, as opposed to an idealistic or notional idea of them."
realize,become fully aware of (something) as a fact; understand clearly.
receipt,the action of receiving something or the fact of its being received.
receive,"be given, presented with, or paid (something)."
recover,"return to a normal state of health, mind, or strength."
reflect,"(of a surface or body) throw back (heat, light, or sound) without absorbing it."
regular,"arranged in or constituting a constant or definite pattern, especially with the same space between individual instances."
related,"belonging to the same family, group, or type; connected."
release,allow or enable to escape from confinement; set free.
remains,"the parts left over after other parts have been removed, used, or destroyed."
removal,the action of taking away or abolishing something unwanted.
removed,remote; separate; not connected with; distinct from.
replace,take the place of.
request,an act of asking politely or formally for something.
require,need for a particular purpose.
reserve,retain for future use.
resolve,settle or find a solution to (a problem or contentious matter).
respect,"a feeling of deep admiration for someone or something elicited by their abilities, qualities, or achievements."
respond,say something in reply.
restore,"bring back or re-establish (a previous right, practice, or situation)."
retired,having left one's job and ceased to work.
revenue,"income, especially when of an organization and of a substantial nature."
reverse,move backwards.
rollout,the unveiling of a new aircraft or spacecraft.
routine,a sequence of actions regularly followed.
running,the action or movement of a runner.
satisfy,"meet the expectations, needs, or desires of (someone)."
science,the intellectual and practical activity encompassing the systematic study of the structure and behaviour of the physical and natural world through observation and experiment.
section,any of the more or less distinct parts into which something is or may be divided or from which it is made up.
segment,each of the parts into which something is or may be divided.
serious,demanding or characterized by careful consideration or application.
service,the action of helping or doing work for someone.
serving,a quantity of food suitable for or served to one person.
session,"a meeting of an official body, especially a legislature, council, or court of law, to conduct its business."
setting,the place or type of surroundings where something is positioned or where an event takes place.
seventh,constituting number seven in a sequence; 7th.
several,more than two but not many.
shortly,in a short time; soon.
showing,"the action of showing something, or the fact of being shown."
silence,complete absence of sound.
silicon,"a nonmetallic element, having amorphous and crystalline forms, occurring in a combined state in minerals and rocks and constituting more than one fourth of the earth's crust: used in steelmaking, alloys, etc. Symbol: Si; atomic weight: 28.086; atomic number: 14; specific gravity: 2.4 at 20°C."
similar,"having a resemblance in appearance, character, or quantity, without being identical."
sitting,"a continuous period of being seated, especially when engaged in a particular activity."
sixteen,"equivalent to the product of four and four; one more than fifteen, or six more than ten; 16."
skilled,"having or showing the knowledge, ability, or training to perform a certain activity or task well."
smoking,"the action or habit of inhaling and exhaling the smoke of tobacco by sucking on the end of a lit cigarette, cigar, pipe, etc."
society,the aggregate of people living together in a more or less ordered community.
somehow,in some way; by some means.
someone,an unknown or unspecified person; some person.
speaker,a person who speaks.
special,"better, greater, or otherwise different from what is usual."
species,"a group of living organisms consisting of similar individuals capable of exchanging genes or interbreeding. The species is the principal natural taxonomic unit, ranking below a genus and denoted by a Latin binomial, e.g. Homo sapiens."
sponsor,a person or organization that pays for or contributes to the costs involved in staging a sporting or artistic event in return for advertising.
station,a place on a railway line where trains regularly stop so that passengers can get on or off.
storage,the action or method of storing something for future use.
strange,unusual or surprising; difficult to understand or explain.
stretch,(of something soft or elastic) be made or be capable of being made longer or wider without tearing or breaking.
student,a person who is studying at a university or other place of higher education.
studied,(of a quality or result) achieved or maintained by careful and deliberate effort.
subject,"a person or thing that is being discussed, described, or dealt with."
succeed,achieve the desired aim or result.
success,the accomplishment of an aim or purpose.
suggest,put forward for consideration.
summary,a brief statement or account of the main points of something.
support,bear all or part of the weight of; hold up.
suppose,think or assume that something is true or probable but lack proof or certain knowledge.
supreme,highest in rank or authority.
surface,the outside part or uppermost layer of something.
surgery,"the branch of medical practice that treats injuries, diseases, and deformities by the physical removal, repair, or readjustment of organs and tissues, often involving cutting into the body."
surplus,an amount of something left over when requirements have been met; an excess of production or supply.
survive,"continue to live or exist, especially in spite of danger or hardship."
suspect,"have an idea or impression of the existence, presence, or truth of (something) without certain proof."
sustain,strengthen or support physically or mentally.
teacher,"a person who teaches, especially in a school."
telecom,telecommunications.
telling,having a striking or revealing effect; significant.
tension,the state of being stretched tight.
theatre,a building or outdoor area in which plays and other dramatic performances are given.
therapy,treatment intended to relieve or heal a disorder.
thereby,by that means; as a result of that.
thought,"an idea or opinion produced by thinking, or occurring suddenly in the mind."
through,"moving in one side and out of the other side of (an opening, channel, or location)."
tonight,on the present or approaching evening or night.
totally,completely; absolutely.
touched,feeling gratitude or sympathy; moved.
towards,in the direction of.
traffic,vehicles moving on a public highway.
trouble,difficulty or problems.
turning,a place where a road branches off from another.
typical,having the distinctive qualities of a particular type of person or thing.
uniform,remaining the same in all cases and at all times; unchanging in form or character.
unknown,not known or familiar.
unusual,not habitually or commonly occurring or done.
upgrade,"raise (something) to a higher standard, in particular improve (equipment or machinery) by adding or replacing components."
upscale,relatively expensive and designed to appeal to affluent consumers; upmarket.
utility,"the state of being useful, profitable, or beneficial."
variety,the quality or state of being different or diverse; the absence of uniformity or monotony.
various,more than one; several.
vehicle,"a thing used for transporting people or goods, especially on land, such as a car, lorry, or cart."
venture,a risky or daring journey or undertaking.
version,a particular form of something differing in certain respects from an earlier form or other forms of the same type of thing.
veteran,a person who has had long experience in a particular field.
victory,"an act of defeating an enemy or opponent in a battle, game, or other competition."
viewing,the action of inspecting or looking at something.
village,"a group of houses and associated buildings, larger than a hamlet and smaller than a town, situated in a rural area."
violent,"using or involving physical force intended to hurt, damage, or kill someone or something."
virtual,"almost or nearly as described, but not completely or according to strict definition."
visible,able to be seen.
waiting,the action of staying where one is or delaying action until a particular time or event.
walking,"move at a regular pace by lifting and setting down each foot in turn, never having both feet off the ground at once."
wanting,lacking in a required or necessary quality.
warning,a statement or event that warns of something or that serves as a cautionary example.
warrant,"a document issued by a legal or government official authorizing the police or another body to make an arrest, search premises, or carry out some other action relating to the administration of justice."
wearing,mentally or physically tiring.
weather,"the state of the atmosphere at a particular place and time as regards heat, cloudiness, dryness, sunshine, wind, rain, etc."
webcast,broadcast (an event) on the internet.
website,"a set of related web pages located under a single domain name, typically produced by a single person or organization."
wedding,"a marriage ceremony, especially considered as including the associated celebrations."
weekend,"Saturday and Sunday, especially regarded as a time for leisure."
welcome,an instance or manner of greeting someone.
welfare,"the health, happiness, and fortunes of a person or group."
western,"situated in the west, or directed towards or facing the west."
whereas,in contrast or comparison with the fact that.
whereby,by which.
whether,expressing a doubt or choice between alternatives.
willing,"ready, eager, or prepared to do something."
winning,"gaining, resulting in, or relating to victory in a contest or competition."
without,in the absence of.
witness,"a person who sees an event, typically a crime or accident, take place."
working,having paid employment.
writing,the activity or skill of writing.
written,"mark (letters, words, or other symbols) on a surface, typically paper, with a pen, pencil, or similar implement."
